content_id,screen,language,issue,current_text,recommended_text,canonical_name,notes
txt-c286ebd2ee46,YouNew/Data/NetherlandsData.swift,mixed,mixed_english_dutch,Gemeente \(city.name),Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-01ada8dd5a84,YouNew/Data/NetherlandsData.swift,mixed,mixed_english_dutch,Gemeente \(city.name),Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-089b513896bc,YouNew/Data/MockDutchHolidaysData.swift,und,scope_ambiguity,"Willem I founded the Kingdom of the Netherlands in 1815 following Napoleon's defeat. He built railways, canals, and the Dutch colonial trading empire.","Willem I founded the Kingdom of the Netherlands in 1815 following Napoleon's defeat. He built railways, canals, and the Dutch colonial trading empire.",Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-8f5b058522fb,YouNew/Data/MockExpandedSearchAnswers.swift,mixed,mixed_english_dutch,"For mental health crises, you can contact 113 (Zelfmoordpreventie) 24/7. There are also support services for various groups. Your huisarts is also a primary contact for mental health referrals. In acute danger, call 112.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-2c1ec185be08,YouNew/Data/MockLocalPartnersData.swift,und,canonical_name_conflict,"Public research university for bachelor's, master's, PhD, international student information, libraries, and Leiden/The Hague campus orientation.","Public research university for bachelor's, master's, PhD, international student information, libraries, and Leiden/Den Haag campus orientation.",Den Haag,Store canonical and localized display name separately.
txt-348caf4549ac,YouNew/Data/MockLocalPartnersData.swift,und,canonical_name_conflict,The Hague University of Applied Sciences,The Hague University of Applied Sciences,Den Haag,Store canonical and localized display name separately.
txt-c9d122c889da,YouNew/Data/MockLocalPartnersData.swift,und,canonical_name_conflict,"University of applied sciences for international programmes, student services, and The Hague campus orientation.","University of applied sciences for international programmes, student services, and Den Haag campus orientation.",Den Haag,Store canonical and localized display name separately.
txt-da4d067892eb,YouNew/Data/HistoryMediaRegistry.swift,und,canonical_name_conflict,"Rembrandt van Rijn (1632), Mauritshuis, The Hague — Public Domain via Wikimedia Commons","Rembrandt van Rijn (1632), Mauritshuis, Den Haag — Public Domain via Wikimedia Commons",Den Haag,Store canonical and localized display name separately.
txt-dfe32f1692ff,YouNew/Data/CuratedPlaceHeroMediaRegistry.swift,und,canonical_name_conflict,The Hague identity: international law and diplomacy.,Den Haag identity: international law and diplomacy.,Den Haag,Store canonical and localized display name separately.
txt-d94181af45cf,YouNew/Data/CuratedPlaceHeroMediaRegistry.swift,und,canonical_name_conflict,Night role gives The Hague its coastal evening identity.,Night role gives Den Haag its coastal evening identity.,Den Haag,Store canonical and localized display name separately.
txt-bc6307a359f5,YouNew/Data/CuratedPlaceHeroMediaRegistry.swift,und,canonical_name_conflict,"North Holland landscape: tulips, polders, coast-facing lowlands.","Noord-Holland landscape: tulips, polders, coast-facing lowlands.",Noord-Holland,Store canonical and localized display name separately.
txt-3fe72b2311be,YouNew/Data/CuratedPlaceHeroMediaRegistry.swift,und,canonical_name_conflict,South Holland water-management landscape.,Zuid-Holland water-management landscape.,Zuid-Holland,Store canonical and localized display name separately.
txt-92c0aa13e12c,YouNew/Data/MockSearchAnswersData.swift,mixed,mixed_english_dutch,Contact your gemeente through the official city website and the appointments/contact section.,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-954b94e62921,YouNew/Data/SideMenuLandmarkRegistry.swift,und,canonical_name_conflict,"Binnenhof, The Hague","Binnenhof, Den Haag",Den Haag,Store canonical and localized display name separately.
txt-0a3fb79f26b3,YouNew/Data/SideMenuLandmarkRegistry.swift,und,canonical_name_conflict,The Binnenhof area in The Hague.,The Binnenhof area in Den Haag.,Den Haag,Store canonical and localized display name separately.
txt-9dfeb2ce0cac,YouNew/Data/SideMenuLandmarkRegistry.swift,und,canonical_name_conflict,The Hague,Den Haag,Den Haag,Store canonical and localized display name separately.
txt-b92507bf71f4,YouNew/Data/MockBeginnerGuidesData.swift,mixed,mixed_english_dutch,Book an appointment at your gemeente as soon as you have a fixed address. Bring your passport and rental contract or housing document.,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-c800c19d18f7,YouNew/Data/MockBeginnerGuidesData.swift,mixed,mixed_english_dutch,Visit your city's official gemeente website and book a registration appointment. Search '[your city] gemeente inschrijven'.,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-491eed30c4a1,YouNew/Data/MockBeginnerGuidesData.swift,mixed,mixed_english_dutch,Use the GP finder on zorgwijzer.nl or google '[your city] huisarts new patients'. Register within the first 2 weeks of arrival.,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-49f7f26bee52,YouNew/Data/MockDutchTermsData.swift,mixed,mixed_english_dutch,"Registration — the formal act of enrolling in an official record. Most commonly used for address registration at the gemeente (BRP), school or university enrollment, and employer registration.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-df3d8868e838,YouNew/Data/MockDutchTermsData.swift,mixed,mixed_english_dutch,Formal registration. Registering your address at the gemeente is essential — it triggers your BSN and access to many services.,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-e0a83cf2205c,YouNew/Data/MockDutchTermsData.swift,mixed,mixed_english_dutch,"Burgerservicenummer — your unique citizen service number used for tax, healthcare, employment, banking, and most Dutch government services. You receive it when you register your address at the gemeente.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-fb4f4e6161a0,YouNew/Data/MockNetherlandsUnderstandingData.swift,und,canonical_name_conflict,The Hague political centre / Binnenhof area,Den Haag political centre / Binnenhof area,Den Haag,Store canonical and localized display name separately.
txt-db00b0240a2c,YouNew/Data/MockNetherlandsUnderstandingData.swift,und,canonical_name_conflict,Historic university city between Amsterdam and The Hague.,Historic university city between Amsterdam and Den Haag.,Den Haag,Store canonical and localized display name separately.
txt-df8b86976f96,YouNew/Data/MockNetherlandsUnderstandingData.swift,und,canonical_name_conflict,The Hague,Den Haag,Den Haag,Store canonical and localized display name separately.
txt-0568af78f76c,YouNew/Data/MockNetherlandsUnderstandingData.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-71ecb0b053aa,YouNew/Data/MockNetherlandsUnderstandingData.swift,und,canonical_name_conflict,The Hague Partners,Den Haag Partners,Den Haag,Store canonical and localized display name separately.
txt-9450d7392f5f,YouNew/Data/MockNetherlandsUnderstandingData.swift,und,canonical_name_conflict,The Hague municipality,Den Haag municipality,Den Haag,Store canonical and localized display name separately.
txt-1494ebdf4a1a,YouNew/Data/MockNetherlandsUnderstandingData.swift,und,canonical_name_conflict,The Hague public transport,Den Haag public transport,Den Haag,Store canonical and localized display name separately.
txt-c8c301c91fdb,YouNew/Data/MockFineInfoData.swift,mixed,mixed_english_dutch,"Zorg voor een geldige zorgverzekering zodra dit verplicht is. Als u een brief van het CAK ontvangt, lees die volledig en volg de instructies op. Verifieer de procedure via officiële CAK- of Government.nl-bronnen.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-813b98180c21,YouNew/Data/MockDeadlinesData.swift,mixed,mixed_english_dutch,Confirm your gemeente has not requested additional documents. Registration is needed before BSN and other services can proceed.,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-a2d0fd9c7a79,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,"Schiphol, Rotterdam The Hague Airport, Eindhoven Airport, and regional airports connect to rail, bus, taxi, and parking systems.","Schiphol, Rotterdam The Hague Airport, Eindhoven Airport, and regional airports connect to rail, bus, taxi, and parking systems.",Den Haag,Store canonical and localized display name separately.
txt-2a607f760405,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,Rotterdam The Hague Airport,Rotterdam The Hague Airport,Den Haag,Store canonical and localized display name separately.
txt-944060539f12,YouNew/Data/MockExpansionData.swift,mixed,mixed_english_dutch,"Practice key words for gemeente, huisarts, transport, and housing",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-d0b92ce2f70c,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,North Holland,Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-6f96c4cfd9e9,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-62c2222bbe10,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,The Hague,Den Haag,Den Haag,Store canonical and localized display name separately.
txt-62c2222bbe10,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,The Hague,Den Haag,Den Haag,Store canonical and localized display name separately.
txt-395079b0f380,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,"Excellent rail, RandstadRail, metro in Rotterdam/The Hague.","Excellent rail, RandstadRail, metro in Rotterdam/Den Haag.",Den Haag,Store canonical and localized display name separately.
txt-f10afe1aa024,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,"Strong expat ecosystem across The Hague, Rotterdam, Leiden and Delft.","Strong expat ecosystem across Den Haag, Rotterdam, Leiden and Delft.",Den Haag,Store canonical and localized display name separately.
txt-869209f07f49,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,North Holland,Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-23dd403a0790,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-bc7a5047eb3d,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-bcf627abd7ae,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,The Hague,Den Haag,Den Haag,Store canonical and localized display name separately.
txt-ec1f9d12944d,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-d43a600af961,YouNew/Data/MockExpansionData.swift,und,canonical_name_conflict,Historic university city between Amsterdam and The Hague.,Historic university city between Amsterdam and Den Haag.,Den Haag,Store canonical and localized display name separately.
txt-8cff4336fcbc,YouNew/Data/MockLettersData.swift,mixed,mixed_english_dutch,Verify details on your gemeente's official website.,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-b4bcabee6c1f,YouNew/Data/TransportGuideData.swift,und,canonical_name_conflict,Amsterdam commonly uses GVB; Rotterdam uses RET; The Hague uses HTM; Utrecht uses U-OV.,Amsterdam commonly uses GVB; Rotterdam uses RET; Den Haag uses HTM; Utrecht uses U-OV.,Den Haag,Store canonical and localized display name separately.
txt-e274448791a1,YouNew/Data/TransportGuideData.swift,und,canonical_name_conflict,HTM The Hague,HTM Den Haag,Den Haag,Store canonical and localized display name separately.
txt-96d2d160f34f,YouNew/Data/VerifiedPlaceMediaRegistry.swift,und,canonical_name_conflict,Flag of The Hague.svg,Flag of Den Haag.svg,Den Haag,Store canonical and localized display name separately.
txt-c2f50a501a4c,YouNew/Data/VerifiedPlaceMediaRegistry.swift,und,canonical_name_conflict,Den Haag / The Hague,Den Haag / Den Haag,Den Haag,Store canonical and localized display name separately.
txt-45dcdd3f5dc3,YouNew/Data/VerifiedPlaceMediaRegistry.swift,und,canonical_name_conflict,"North Holland by Sentinel-2, 2018-06-30.jpg","Noord-Holland by Sentinel-2, 2018-06-30.jpg",Noord-Holland,Store canonical and localized display name separately.
txt-6819fe4a06ad,YouNew/Data/VerifiedPlaceMediaRegistry.swift,und,canonical_name_conflict,Flag of North Holland.svg,Flag of Noord-Holland.svg,Noord-Holland,Store canonical and localized display name separately.
txt-7774008bf567,YouNew/Data/VerifiedPlaceMediaRegistry.swift,und,canonical_name_conflict,"South Holland by Sentinel-2, 2018-06-30.jpg","Zuid-Holland by Sentinel-2, 2018-06-30.jpg",Zuid-Holland,Store canonical and localized display name separately.
txt-484d18262c48,YouNew/Data/MockDashboardDiscoveryData.swift,und,canonical_name_conflict,The Hague & Partners,Den Haag & Partners,Den Haag,Store canonical and localized display name separately.
txt-08fb9dcbaee9,YouNew/Data/ContentMediaRegistry.swift,und,canonical_name_conflict,"A masterpiece of the Dutch Golden Age, painted c. 1665 by Johannes Vermeer and held at the Mauritshuis in The Hague.","A masterpiece of the Dutch Golden Age, painted c. 1665 by Johannes Vermeer and held at the Mauritshuis in Den Haag.",Den Haag,Store canonical and localized display name separately.
txt-212f727a8fca,YouNew/Data/ContentMediaRegistry.swift,und,canonical_name_conflict,"Johannes Vermeer (c. 1665), Mauritshuis, The Hague — Public Domain via Wikimedia Commons","Johannes Vermeer (c. 1665), Mauritshuis, Den Haag — Public Domain via Wikimedia Commons",Den Haag,Store canonical and localized display name separately.
txt-bb38b796da10,YouNew/Data/MockNewcomerMistakesData.swift,mixed,mixed_english_dutch,Treating suspicious 'gemeente' calls as official,Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-331942d846bc,YouNew/Data/LocalNetherlandsImagePackRegistry.swift,und,canonical_name_conflict,North Holland,Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-7942c9f6ca2e,YouNew/Data/LocalNetherlandsImagePackRegistry.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-44460013446a,YouNew/Views/NetherlandsHistoryView.swift,und,scope_ambiguity,Kingdom of the Netherlands established,Kingdom of the Netherlands established,Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-e7cb8c36d585,YouNew/Views/SearchView.swift,mixed,mixed_english_dutch,"BSN, DigiD, gemeente, IND, official letters, and sources.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-c745a379622d,YouNew/Views/SearchView.swift,und,scope_ambiguity,Kingdom of the Netherlands,Kingdom of the Netherlands,Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-a55c04483582,YouNew/Views/HomeView.swift,und,canonical_name_conflict,North Holland,Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-620487e2c452,YouNew/Views/HomeView.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-8a8f20785f43,YouNew/Views/HomeView.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-fe5f96eb6bee,YouNew/Views/HomeView.swift,und,canonical_name_conflict,South Holland · your city,Zuid-Holland · your city,Zuid-Holland,Store canonical and localized display name separately.
txt-57e4279a98eb,YouNew/Views/RootHomeView.swift,und,canonical_name_conflict,North Holland,Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-781e521ef7d2,YouNew/Views/RootHomeView.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-926eae3d37ad,YouNew/Views/HistoryKNMHubView.swift,und,canonical_name_conflict,"12 provinces, capital Amsterdam, government seat The Hague","12 provinces, capital Amsterdam, government seat Den Haag",Den Haag,Store canonical and localized display name separately.
txt-5f00d23c5f6a,YouNew/Views/InformationHubView.swift,mixed,mixed_english_dutch,"Register, arrange DigiD, insurance, huisarts, transport, and sources.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-fea12cd52f84,YouNew/Views/NetherlandsOverviewView.swift,und,scope_ambiguity,Kingdom of the Netherlands,Kingdom of the Netherlands,Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-6fa537fed28f,YouNew/Views/NetherlandsOverviewView.swift,und,canonical_name_conflict,Rotterdam The Hague Airport,Rotterdam The Hague Airport,Den Haag,Store canonical and localized display name separately.
txt-0e4f396e2e55,YouNew/Views/FirstStepsView.swift,mixed,mixed_english_dutch,"Check health insurance, huisarts, banking, transport, and official-letter routines.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-0f95963de167,YouNew/Views/GuideContentView.swift,mixed,mixed_english_dutch,"Health insurance, huisarts, pharmacy, urgent care, and official sources",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-2a14d2446579,YouNew/Views/GuideContentView.swift,mixed,mixed_english_dutch,"The huisarts visit itself is normally outside the mandatory deductible, but many follow-up services can count toward it.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-1aed5b0dcd19,YouNew/Views/ProvinceDirectoryView.swift,mixed,mixed_english_dutch,"Ik ben in \(city.localizedName(lang)), provincie \(province.localizedName(lang)). Leg uit wat ik eerst moet doen, welke officiële bronnen ik controleer en waar ik dit op de kaart vind. Kort, stap voor stap.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-68fa4352d5b4,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,North Holland,Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-e1c2f54de168,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-8eac248d29fe,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,The Hague,Den Haag,Den Haag,Store canonical and localized display name separately.
txt-5ed5b8b8a6ba,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,"Haarlem developed in the Middle Ages near the river Spaarne and became an important town in the County of Holland. It was known for textiles, brewing, printing, painting, and later for its role as the capital of North Holland. The historic centre, Grote Markt, churches, museums, and railway links still reflect Haarlem's position as a cultural and administrative city close to Amsterdam.","Haarlem developed in the Middle Ages near the river Spaarne and became an important town in the County of Holland. It was known for textiles, brewing, printing, painting, and later for its role as the capital of Noord-Holland. The historic centre, Grote Markt, churches, museums, and railway links still reflect Haarlem's position as a cultural and administrative city close to Amsterdam.",Noord-Holland,Store canonical and localized display name separately.
