content_id,current_screen,claim,verification_status,required_source_type,source_url,last_checked_at,notes
txt-7e991272267d,YouNew/en.lproj/Localizable.strings:971,1795–1815,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-1428e56974a8,YouNew/en.lproj/Localizable.strings:981,1914–1945,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-41d4c11ca352,YouNew/en.lproj/Localizable.strings:984,"World War II brought occupation, persecution, resistance, hunger, destruction, and liberation in 1945. Remembrance remains important in public life.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-8033e8d452bd,YouNew/en.lproj/Localizable.strings:986,After 1945,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-e3d779973401,YouNew/Core/Localization/L10n.swift:394,Mandatory from your first day in the Netherlands.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-fc8e58698256,YouNew/Core/Localization/L10n.swift:878,Mandatory from day one in the Netherlands.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-12e80a2e6048,YouNew/App/AppTabView.swift:1718,"De grootste Nederlandse meester. Zijn Nachtwacht (1642) in het Rijksmuseum is het beroemdste Nederlandse schilderij. Geboren in Leiden, vernieuwde hij portretkunst en clair-obscur.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-532aee51920b,YouNew/App/AppTabView.swift:1722,"Een van de grootste rationalistische filosofen. Zijn Ethica (1677) stelde dat God en de natuur dezelfde substantie zijn. Geboren in Amsterdam in een Portugees-Joodse familie, werd hij op 23-jarige leeftijd verbannen om zijn radicale ideeën.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-4e276946fd52,YouNew/App/AppTabView.swift:1724,De prins der humanisten. Zijn Lof der Zotheid (1509) bespotte kerkelijke corruptie en bereidde de Reformatie voor. De Erasmusbrug in Rotterdam is naar hem vernoemd.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-047f6d4f2b7b,YouNew/App/AppTabView.swift:1726,De wereldwijd bekendste Nederlandse kunstenaar. Hij maakte 2100 werken in 10 jaar ondanks zware psychische problemen. De Sterrennacht en Zonnebloemen behoren tot de beroemdste schilderijen ter wereld.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-9f949c912c8b,YouNew/App/AppTabView.swift:1728,Vader van Nederland. Hij leidde de opstand tegen Spaans gezag en legde de basis voor de Nederlandse Republiek. In 1584 werd hij in Delft vermoord.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-bf80230cff86,YouNew/App/AppTabView.swift:1730,"Hij vond het slingeruurwerk uit (1656), ontdekte de ringen van Saturnus en de maan Titan, en ontwikkelde de golftheorie van licht. Een van de belangrijkste wetenschappers van de Wetenschappelijke Revolutie.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-b0a200e70ed9,YouNew/App/AppTabView.swift:1734,Legde de basis voor het moderne internationaal recht met Mare Liberum (1609) en Over het recht van oorlog en vrede (1625). Het Internationaal Gerechtshof in Den Haag weerspiegelt zijn nalatenschap.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-38f408d0fee0,YouNew/App/AppTabView.swift:1736,"Delftse lakenhandelaar die eigen microscopen bouwde en als eerste bacteriën (1676), protozoa en bloedcellen waarnam. Hij was autodidact en had geen formele wetenschappelijke opleiding.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-59d02561da5b,YouNew/App/AppTabView.swift:1748,Sterrennacht · Zonnebloemen · 2100 werken,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-61f51f72fe58,YouNew/App/AppTabView.swift:1749,Grondlegger van de Nederlandse Republiek (1581),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-9b7be8fef293,YouNew/App/AppTabView.swift:1752,Grondlegger van het internationaal recht (1609),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-1abd5f4ee40f,YouNew/App/AppTabView.swift:1753,Eerste waarneming van bacteriën (1676),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-45fba7ab13be,YouNew/App/AppTabView.swift:1762,1606–1669,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-af7a605011b5,YouNew/App/AppTabView.swift:1766,"The greatest Dutch master. His Night Watch (1642) in the Rijksmuseum is the most famous Dutch painting. Born in Leiden, he revolutionized portraiture and chiaroscuro technique.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-673a991b682b,YouNew/App/AppTabView.swift:1767,"Величайший нидерландский мастер. Его «Ночной дозор» (1642) в Рейксмюзеуме — самая известная нидерландская картина. Родился в Лейдене, революционизировал портрет и технику светотени.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-d13051a23d39,YouNew/App/AppTabView.swift:1779,1632–1675,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-a6f0aefd957c,YouNew/App/AppTabView.swift:1796,1632–1677,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-939b595367fa,YouNew/App/AppTabView.swift:1800,"One of the greatest rationalist philosophers. His Ethics (1677) argued that God and Nature are the same substance. Born in Amsterdam to a Portuguese-Jewish family, he was excommunicated at 23 for his radical ideas.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-955adc8a1928,YouNew/App/AppTabView.swift:1801,"Один из величайших философов-рационалистов. Его «Этика» (1677) утверждала, что Бог и Природа — одна субстанция. Родился в Амстердаме в португальско-еврейской семье, отлучён от общины в 23 года.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-871c38b14acb,YouNew/App/AppTabView.swift:1813,1466–1536,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-422996087a53,YouNew/App/AppTabView.swift:1817,The prince of humanists. His Praise of Folly (1509) mocked church corruption and prepared the ground for the Reformation. The Erasmus Bridge in Rotterdam is named after him.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-8369d8505917,YouNew/App/AppTabView.swift:1818,Принц гуманистов. Его «Похвала глупости» (1509) высмеивала церковную коррупцию и подготовила почву для Реформации. Мост Эразма в Роттердаме назван в его честь.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-3662e550c715,YouNew/App/AppTabView.swift:1830,1853–1890,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-21f8cbc23c6d,YouNew/App/AppTabView.swift:1835,"Самый узнаваемый нидерландский художник в мире. Создал 2100 работ за 10 лет, несмотря на тяжёлую болезнь. «Звёздная ночь» и «Подсолнухи» — одни из самых дорогих картин в истории.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c5247f35dd0a,YouNew/App/AppTabView.swift:1841,Starry Night · Sunflowers · 2100 works,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-4128def4e44c,YouNew/App/AppTabView.swift:1842,Звёздная ночь · Подсолнухи · 2100 работ,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-1af43c7e34cf,YouNew/App/AppTabView.swift:1847,1533–1584,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-382448287a3b,YouNew/App/AppTabView.swift:1851,"Father of the Netherlands. Led the revolt against Spanish rule and founded the Dutch Republic. Assassinated in Delft in 1584, he became the first head of state murdered by pistol in modern history.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-4928ba62cec7,YouNew/App/AppTabView.swift:1852,"Отец Нидерландов. Возглавил восстание против испанского владычества и основал Нидерландскую республику. Убит в Делфте в 1584 году — первый глава государства, застреленный из пистолета в истории.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c0866f3040d2,YouNew/App/AppTabView.swift:1858,Founded the Dutch Republic (1581),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-0e9e34932070,YouNew/App/AppTabView.swift:1859,Основал Нидерландскую республику (1581),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-89871e747c4c,YouNew/App/AppTabView.swift:1864,1629–1695,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-534b6dfb53db,YouNew/App/AppTabView.swift:1868,"Invented the pendulum clock (1656), discovered Saturn's rings and its moon Titan, and developed the wave theory of light. He was one of the most important scientists of the Scientific Revolution.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-6caa867c6b6d,YouNew/App/AppTabView.swift:1869,"Изобрёл маятниковые часы (1656), открыл кольца Сатурна и его спутник Титан, разработал волновую теорию света. Один из важнейших учёных Научной революции.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-7fc53f631edb,YouNew/App/AppTabView.swift:1881,1929–1945,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-fc17eecbe492,YouNew/App/AppTabView.swift:1885,"Jewish girl who kept a diary while hiding in Amsterdam during Nazi occupation. Published by her father Otto after the war, her diary has sold 35 million copies in 70 languages.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-307244860b4b,YouNew/App/AppTabView.swift:1892,Diary of a Young Girl · 35M copies,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-f75325649321,YouNew/App/AppTabView.swift:1898,1583–1645,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-aa87a614fb71,YouNew/App/AppTabView.swift:1902,"Founded modern international law with Mare Liberum (1609), establishing freedom of the seas, and On the Law of War and Peace (1625). The International Court of Justice in Den Haag reflects his legacy.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-6be935fc2665,YouNew/App/AppTabView.swift:1903,Заложил основы международного права трактатом «Свободное море» (1609) и «О праве войны и мира» (1625). Международный суд ООН в Гааге — его наследие.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-90a11174d221,YouNew/App/AppTabView.swift:1909,Founded International Law (1609),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-55d8c1771808,YouNew/App/AppTabView.swift:1910,Основал международное право (1609),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-de60d5f7e0cf,YouNew/App/AppTabView.swift:1915,1632–1723,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-3876df869ff7,YouNew/App/AppTabView.swift:1919,"Delft draper who built his own microscopes and became the first person to observe bacteria (1676), protozoa, and blood cells. Self-taught, he had no formal scientific training.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-7898a1366ad0,YouNew/App/AppTabView.swift:1920,"Делфтский торговец тканями, самостоятельно изготовивший микроскопы и первым наблюдавший бактерии (1676), простейших и клетки крови. Самоучка без формального научного образования.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-16d623c11c20,YouNew/App/AppTabView.swift:1926,First to observe bacteria (1676),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-2f9d72b26412,YouNew/App/AppTabView.swift:1927,Первым наблюдал бактерии (1676),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-54b58c56d768,YouNew/Features/Home/View/UtilityCenterViews.swift:141,Required documents: \(names),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-6a13103a8993,YouNew/Features/More/View/GovernmentHubView.swift:47,"National Police — report crime, non-emergency 0900-8844",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c510ba28fa24,YouNew/Features/More/View/GovernmentHubView.swift:47,"Nationale Politie — aangifte doen, niet-spoed 0900-8844",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-cae6bb3894d8,YouNew/Features/More/View/GovernmentHubView.swift:47,"Национальная полиция — сообщить о преступлении, не срочно 0900-8844",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-dea3721e5e37,YouNew/Models/RelatedContentEngine.swift:362,Confirm whether health insurance is mandatory for your situation.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-459d636fbf50,YouNew/Models/AINavigatorRoute.swift:125,2. Police (non-emergency): 0900-8844,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-4bca08ced80f,YouNew/Models/AINavigatorRoute.swift:127,4. Mental crisis: 0800-0113,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c2e5a0daba5c,YouNew/Models/AINavigatorRoute.swift:141,3. Register for inburgeringscursus if required,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-5b6a81426aad,YouNew/Models/ResourceLinkItem.swift:123,9292: Public transport planner,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-638559388726,YouNew/Models/ResourceLinkItem.swift:124,9292: Openbaarvervoerplanner,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-3c62304bc9fe,YouNew/Models/ResourceLinkItem.swift:124,9292: планировщик общественного транспорта,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-a606e824a4fb,YouNew/Models/ResourceLinkItem.swift:199,9292: Public transport planner,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-a413e77e4a5c,YouNew/Models/ResourceLinkItem.swift:241,Residents and workers managing Dutch tax returns or tax letters,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-68c8a86e7080,YouNew/Models/ResourceLinkItem.swift:352,9292: Public transport planner,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-6072a952fa3c,YouNew/Models/ResourceLinkItem.swift:359,Voor niet-urgent politiecontact: 0900-8844. Voor niet-urgente medische vragen: uw huisarts.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-26b1a81d7f78,YouNew/Models/ResourceLinkItem.swift:359,По неэкстренным вопросам полиции звоните 0900-8844. Для медицинских — обращайтесь к врачу.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-3f2b712ccf41,YouNew/Models/StatusDirection.swift:85,Check whether insurance is required,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-568286ebc069,YouNew/ru.lproj/Localizable.strings:219,"Подготовлены размеры: 16, 32, 64, 128, 256, 512, 1024 px. AppIcon подключён в Assets.xcassets.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-03a0b2acf6b5,YouNew/ru.lproj/Localizable.strings:917,"Карта Нидерландов, 1631",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-ae110885dea9,YouNew/ru.lproj/Localizable.strings:923,"Ночной дозор, 1642",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-5429f020b2e1,YouNew/ru.lproj/Localizable.strings:925,"Урок анатомии доктора Николаса Тюлпа, 1632",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-bde70aa485cd,YouNew/ru.lproj/Localizable.strings:938,411–1000,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-3cb55ffec968,YouNew/ru.lproj/Localizable.strings:943,1000–1384,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-5b68457652ea,YouNew/ru.lproj/Localizable.strings:948,1384–1482,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-04237c7f0993,YouNew/ru.lproj/Localizable.strings:953,1482–1581,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c387452364e2,YouNew/ru.lproj/Localizable.strings:958,1568–1648,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c8cd986b01cc,YouNew/ru.lproj/Localizable.strings:961,Северные провинции разорвали связь с испанской властью и создали Республику Соединённых провинций. Международное признание пришло после Вестфальского мира 1648 года.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c28f4f2d1a17,YouNew/ru.lproj/Localizable.strings:963,1568–1648,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-af6845ec9d9b,YouNew/ru.lproj/Localizable.strings:966,Северные провинции разорвали связь с испанской властью и создали Республику Соединённых провинций. Международное признание пришло после Вестфальского мира 1648 года.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-0237525a67c3,YouNew/ru.lproj/Localizable.strings:973,1795–1815,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c8f19e2ad72a,YouNew/ru.lproj/Localizable.strings:983,1914–1945,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-24a35ad1f978,YouNew/ru.lproj/Localizable.strings:986,"Вторая мировая война принесла оккупацию, преследования, сопротивление, голод, разрушения и освобождение в 1945 году. Память о войне остаётся важной частью общественной жизни.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-5ab3b4fd1514,YouNew/ru.lproj/Localizable.strings:988,После 1945,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-52ca484a25c7,YouNew/nl.lproj/Localizable.strings:219,"Voorbereide maten: 16, 32, 64, 128, 256, 512, 1024 px. AppIcon is gekoppeld in Assets.xcassets.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-410db43314cc,YouNew/nl.lproj/Localizable.strings:915,"Kaart van Nederland, 1631",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-137ac8e511ba,YouNew/nl.lproj/Localizable.strings:921,"De Nachtwacht, 1642",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-ea9fb9f79762,YouNew/nl.lproj/Localizable.strings:923,"De Anatomische les van Dr. Nicolaes Tulp, 1632",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-89a738a16843,YouNew/nl.lproj/Localizable.strings:936,411–1000,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-48369e42c34a,YouNew/nl.lproj/Localizable.strings:941,1000–1384,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-d7c0b33fa529,YouNew/nl.lproj/Localizable.strings:946,1384–1482,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-e54b74b44fb2,YouNew/nl.lproj/Localizable.strings:951,1482–1581,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-29a72c2a5357,YouNew/nl.lproj/Localizable.strings:956,1568–1648,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-baf158d3b3bd,YouNew/nl.lproj/Localizable.strings:959,De noordelijke provincies braken met het Spaanse gezag en bouwden de Republiek der Zeven Verenigde Nederlanden. Internationale erkenning volgde bij de Vrede van Westfalen in 1648.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-2a1261555435,YouNew/nl.lproj/Localizable.strings:961,1568–1648,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-4b3d8df0b3b6,YouNew/nl.lproj/Localizable.strings:964,De noordelijke provincies braken met het Spaanse gezag en bouwden de Republiek der Zeven Verenigde Nederlanden. Internationale erkenning volgde bij de Vrede van Westfalen in 1648.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-cc652159337a,YouNew/nl.lproj/Localizable.strings:971,1795–1815,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-dd1ef4ca08c1,YouNew/nl.lproj/Localizable.strings:981,1914–1945,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-8d731b18c392,YouNew/nl.lproj/Localizable.strings:984,"De Tweede Wereldoorlog bracht bezetting, vervolging, verzet, honger, verwoesting en bevrijding in 1945. Herdenken blijft belangrijk in het openbare leven.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-0d7bec988e8e,YouNew/Data/LicensedPartnerMediaRegistry.swift:21,Wikimedia Commons · Leiden Centraal Station 6838.jpg · C messier,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-c119af243194,YouNew/Data/KNMGuideData.swift:18,9292 journey planner,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-bcc0a1b6dad5,YouNew/Data/KNMGuideData.swift:18,9292 reisplanner,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-84de3c496289,YouNew/Data/KNMGuideData.swift:18,9292 планировщик,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-65c9c7aa77a9,YouNew/Data/KNMGuideData.swift:51,"Schools expect parents to read messages, attend meetings when needed, and report absence. Children must follow compulsory education rules unless an official exception applies.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-df9d6b637813,YouNew/Data/KNMGuideData.swift:54,"Plan trips before travel, check in and out when required, and follow operator rules. Cycling is common, but lights, parking rules, priority, and traffic signs still matter.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-d1d654260466,YouNew/Data/KNMGuideData.swift:125,You move to another municipality and must update your address.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-44a066a81afc,YouNew/Data/KNMGuideData.swift:140,You become sick and must follow the employer's reporting process.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-86e74c074961,YouNew/Data/KNMGuideData.swift:182,"You contact municipality, Belastingdienst, IND, UWV, SVB, or police and must keep records.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-9793f410c9bd,YouNew/Data/KNMGuideData.swift:213,"Use NS, 9292, OVpay, OV-chipkaart, or local operators for current travel information.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-1dc0c9156072,YouNew/Data/KNMGuideData.swift:213,"Gebruik NS, 9292, OVpay, OV-chipkaart of lokale vervoerders voor actuele reisinformatie.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-170c8889712c,YouNew/Data/KNMGuideData.swift:213,"Используйте NS, 9292, OVpay, OV-chipkaart или местных операторов для актуальной информации.",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-8223688e2d45,YouNew/Data/KNMGuideData.swift:222,You must decide whether a situation is immediate danger and needs 112.,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-892b022edf42,YouNew/Data/NetherlandsData.swift:22,about 18 million,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-3f95ebc7ff50,YouNew/Data/NetherlandsData.swift:30,1581 — Republic of the Seven United Netherlands,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-b473e0fcfa59,YouNew/Data/NetherlandsData.swift:31,Founding member of the EU (1957),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-22b459af8aba,YouNew/Data/NetherlandsData.swift:32,Founding member of NATO (1949),verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-5ec11baf5b0f,YouNew/Data/NetherlandsData.swift:38,"Het Wilhelmus (oldest national anthem in the world, 1574)",verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
txt-42982b70cf36,YouNew/Data/NetherlandsData.swift:51,More bicycles than residents,verification_required,official authority or official statistics,,,Not marked verified: no claim-specific official page was opened during this audit.
