content_id,current_screen,current_text,problem_type,recommended_category,recommended_text,source_required,source_url,last_verified_at,notes
txt-a26e57ed3fa7,YouNew/ViewModels/AIViewModel.swift:981,Готовлю ответ...,possibly_truncated_text,explore,Готовлю ответ...,false,,,
txt-838d892dc256,YouNew/ViewModels/AIViewModel.swift:982,Antwoord voorbereiden...,possibly_truncated_text,explore,Antwoord voorbereiden...,false,,,
txt-921f95b1c21c,YouNew/ViewModels/AIViewModel.swift:983,Preparing an answer...,possibly_truncated_text,explore,Preparing an answer...,false,,,
txt-94650850ba6e,YouNew/ViewModels/AIViewModel.swift:989,Безопасность,duplicate_exact_text,explore,Reference canonical item txt-94650850ba6e; do not store another copy.,false,,,Duplicate occurrences: 9.
txt-8c8941eacb1a,YouNew/ViewModels/AIViewModel.swift:1014,официаль,duplicate_exact_text,explore,Reference canonical item txt-8c8941eacb1a; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-b83cb20bb853,YouNew/ViewModels/AIViewModel.swift:1022,"#, with:",duplicate_exact_text,explore,Reference canonical item txt-b83cb20bb853; do not store another copy.,false,,,Duplicate occurrences: 20.
txt-5d77a7f760db,YouNew/ViewModels/AIViewModel.swift:1023,"#, with:",duplicate_exact_text,explore,Reference canonical item txt-b83cb20bb853; do not store another copy.,false,,,Duplicate occurrences: 20.
txt-ab393fb978bf,YouNew/ViewModels/ProfileChecklistEngine.swift:46,register your address,duplicate_cross_category|duplicate_exact_text,getting-started,Reference canonical item txt-ab393fb978bf; do not store another copy.,false,,,Duplicate occurrences: 13.
txt-3cd831cf57ee,YouNew/ViewModels/ProfileChecklistEngine.swift:55,register your address,duplicate_cross_category|duplicate_exact_text,getting-started,Reference canonical item txt-ab393fb978bf; do not store another copy.,false,,,Duplicate occurrences: 13.
txt-96a90b94a174,YouNew/ViewModels/SearchViewModel.swift:334,dutch a1,duplicate_exact_text,explore,Reference canonical item txt-96a90b94a174; do not store another copy.,false,,,Duplicate occurrences: 7.
txt-bfa1bee07efc,YouNew/ViewModels/SearchViewModel.swift:335,dutch a1 a2,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-bfa1bee07efc; do not store another copy.,false,,,Duplicate occurrences: 19.
txt-b2433578cbba,YouNew/ViewModels/SearchViewModel.swift:336,dutch a1-a2,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-bfa1bee07efc; do not store another copy.,false,,,Duplicate occurrences: 19.
txt-685d2bdd94b7,YouNew/ViewModels/SearchViewModel.swift:337,nederlands a1,duplicate_exact_text,explore,Reference canonical item txt-685d2bdd94b7; do not store another copy.,false,,,Duplicate occurrences: 6.
txt-a7321721ffc1,YouNew/ViewModels/SearchViewModel.swift:338,nederlands a1 a2,duplicate_exact_text,explore,Reference canonical item txt-a7321721ffc1; do not store another copy.,false,,,Duplicate occurrences: 16.
txt-a171991a155d,YouNew/ViewModels/SearchViewModel.swift:339,нидерландский a1,duplicate_exact_text,explore,Reference canonical item txt-a171991a155d; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-717fa2fbab24,YouNew/ViewModels/SearchViewModel.swift:348,dutch a1,duplicate_exact_text,explore,Reference canonical item txt-96a90b94a174; do not store another copy.,false,,,Duplicate occurrences: 7.
txt-2f3890364a8d,YouNew/ViewModels/SearchViewModel.swift:348,nederlands a1,duplicate_exact_text,explore,Reference canonical item txt-685d2bdd94b7; do not store another copy.,false,,,Duplicate occurrences: 6.
txt-b0c4cb1647af,YouNew/ViewModels/SearchViewModel.swift:359,dutch a1,duplicate_exact_text,explore,Reference canonical item txt-96a90b94a174; do not store another copy.,false,,,Duplicate occurrences: 7.
txt-2b41d5e3b858,YouNew/ViewModels/SearchViewModel.swift:359,nederlands a1,duplicate_exact_text,explore,Reference canonical item txt-685d2bdd94b7; do not store another copy.,false,,,Duplicate occurrences: 6.
txt-17fe2b1f24fa,YouNew/ViewModels/SearchViewModel.swift:384,цифровой логин,duplicate_exact_text,explore,Reference canonical item txt-17fe2b1f24fa; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-e953d38a8132,YouNew/ViewModels/SearchViewModel.swift:384,digital login,duplicate_exact_text,official-services,Reference canonical item txt-e953d38a8132; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-747baf25167f,YouNew/ViewModels/SearchViewModel.swift:385,госуслуги,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-747baf25167f; do not store another copy.,false,,,Duplicate occurrences: 6.
txt-ff70b1db3942,YouNew/ViewModels/SearchViewModel.swift:385,government services,duplicate_exact_text,official-services,Reference canonical item txt-ff70b1db3942; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-294119098a40,YouNew/ViewModels/SearchViewModel.swift:387,номер bsn,duplicate_cross_category|duplicate_exact_text,getting-started,Reference canonical item txt-294119098a40; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-54bb6c83547e,YouNew/ViewModels/SearchViewModel.swift:388,регистрация,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-54bb6c83547e; do not store another copy.,false,,,Duplicate occurrences: 29.
txt-064b5faec528,YouNew/ViewModels/SearchViewModel.swift:390,pay fine,duplicate_exact_text,explore,Reference canonical item txt-064b5faec528; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-87d3719abfa6,YouNew/ViewModels/SearchViewModel.swift:391,налоговая,duplicate_exact_text,explore,Reference canonical item txt-87d3719abfa6; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-c25fcbc533ba,YouNew/ViewModels/SearchViewModel.swift:395,иммиграция,duplicate_exact_text,explore,Reference canonical item txt-c25fcbc533ba; do not store another copy.,false,,,Duplicate occurrences: 9.
txt-6fbf2c9e54b1,YouNew/ViewModels/SearchViewModel.swift:396,social benefits,duplicate_exact_text,explore,Reference canonical item txt-6fbf2c9e54b1; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-2b8a0f914456,YouNew/ViewModels/SearchViewModel.swift:397,субсидии,duplicate_exact_text,explore,Reference canonical item txt-2b8a0f914456; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-083ea3c61e32,YouNew/ViewModels/SearchViewModel.swift:397,social benefits,duplicate_exact_text,explore,Reference canonical item txt-6fbf2c9e54b1; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-5d4abcaca041,YouNew/ViewModels/SearchViewModel.swift:398,транспорт,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-5d4abcaca041; do not store another copy.,false,,,Duplicate occurrences: 84.
txt-5dbf4c3b5e89,YouNew/ViewModels/SearchViewModel.swift:400,government letter,duplicate_cross_category|duplicate_exact_text,official-services,Reference canonical item txt-5dbf4c3b5e89; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-9319bab01433,YouNew/ViewModels/SearchViewModel.swift:401,официальное письмо,duplicate_exact_text,explore,Reference canonical item txt-9319bab01433; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-c9eed959726d,YouNew/ViewModels/SearchViewModel.swift:401,government letter,duplicate_cross_category|duplicate_exact_text,official-services,Reference canonical item txt-5dbf4c3b5e89; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-5f06261562de,YouNew/ViewModels/SearchViewModel.swift:402,муниципалитет,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-2f93b5222710; do not store another copy.,false,,,Duplicate occurrences: 46.
txt-0b94719d5671,YouNew/ViewModels/SearchViewModel.swift:407,велосипед,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-0b94719d5671; do not store another copy.,false,,,Duplicate occurrences: 12.
txt-d30d5cafdc1b,YouNew/ViewModels/SearchViewModel.swift:414,страховка,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-d30d5cafdc1b; do not store another copy.,false,,,Duplicate occurrences: 14.
txt-39c2b01d5ec6,YouNew/ViewModels/SearchViewModel.swift:415,медстраховка,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-39c2b01d5ec6; do not store another copy.,false,,,Duplicate occurrences: 10.
txt-e3b65934710b,YouNew/ViewModels/SearchViewModel.swift:415,health insurance,duplicate_exact_text,health-and-safety,Reference canonical item txt-e3b65934710b; do not store another copy.,false,,,Duplicate occurrences: 62.
txt-db34a00bafaa,YouNew/ViewModels/SearchViewModel.swift:417,семейный врач,duplicate_exact_text,explore,Reference canonical item txt-db34a00bafaa; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-a96be87707df,YouNew/ViewModels/SearchViewModel.swift:420,переработка,duplicate_exact_text,explore,Reference canonical item txt-a96be87707df; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-c9c07091da09,YouNew/ViewModels/SearchViewModel.swift:421,зарплата,duplicate_exact_text,explore,Reference canonical item txt-c9c07091da09; do not store another copy.,false,,,Duplicate occurrences: 6.
txt-b8ef91efc724,YouNew/ViewModels/SearchViewModel.swift:423,расчетный лист,duplicate_exact_text,explore,Reference canonical item txt-b8ef91efc724; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-00b1968271d7,YouNew/ViewModels/SearchViewModel.swift:424,расчётный лист,duplicate_exact_text,explore,Reference canonical item txt-00b1968271d7; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-fb8c8a7c63a0,YouNew/ViewModels/SearchViewModel.swift:429,общественный транспорт,duplicate_exact_text,explore,Reference canonical item txt-fb8c8a7c63a0; do not store another copy.,false,,,Duplicate occurrences: 11.
txt-afffca99b1f8,YouNew/ViewModels/SearchViewModel.swift:429,public transport,duplicate_exact_text,transport,Reference canonical item txt-afffca99b1f8; do not store another copy.,false,,,Duplicate occurrences: 16.
txt-ce61b19a1bb4,YouNew/ViewModels/SearchViewModel.swift:438,health insurance,duplicate_exact_text,health-and-safety,Reference canonical item txt-e3b65934710b; do not store another copy.,false,,,Duplicate occurrences: 62.
txt-c8839ffea3f3,YouNew/ViewModels/SearchViewModel.swift:439,health insurance,duplicate_exact_text,health-and-safety,Reference canonical item txt-e3b65934710b; do not store another copy.,false,,,Duplicate occurrences: 62.
txt-0849f66a2f8d,YouNew/ViewModels/SearchViewModel.swift:440,health insurance,duplicate_exact_text,health-and-safety,Reference canonical item txt-e3b65934710b; do not store another copy.,false,,,Duplicate occurrences: 62.
txt-d49e9ff9df0c,YouNew/ViewModels/SearchViewModel.swift:445,нидерландский a1,duplicate_exact_text,explore,Reference canonical item txt-a171991a155d; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-6a4f23535b1b,YouNew/ViewModels/SearchViewModel.swift:445,dutch a1,duplicate_exact_text,explore,Reference canonical item txt-96a90b94a174; do not store another copy.,false,,,Duplicate occurrences: 7.
txt-0dc11451ffad,YouNew/ViewModels/SearchViewModel.swift:446,нидерландский a2,duplicate_exact_text,explore,Reference canonical item txt-0dc11451ffad; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-d7afff5597e6,YouNew/ViewModels/SearchViewModel.swift:446,dutch a2,duplicate_exact_text,explore,Reference canonical item txt-d7afff5597e6; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-8cf9b18c5895,YouNew/ViewModels/SearchViewModel.swift:447,знание нидерландского общества,duplicate_exact_text,explore,Reference canonical item txt-8cf9b18c5895; do not store another copy.,false,,,Duplicate occurrences: 7.
txt-cfc5fac385b5,YouNew/ViewModels/SearchViewModel.swift:447,knowledge of dutch society,duplicate_exact_text,explore,Reference canonical item txt-cfc5fac385b5; do not store another copy.,false,,,Duplicate occurrences: 7.
txt-52062dcc52c9,YouNew/ViewModels/SearchViewModel.swift:449,грамматика,duplicate_exact_text,explore,Reference canonical item txt-52062dcc52c9; do not store another copy.,false,,,Duplicate occurrences: 5.
txt-9a7bf51ae7cf,YouNew/ViewModels/SearchViewModel.swift:450,отделяемые глаголы,duplicate_exact_text,explore,Reference canonical item txt-9a7bf51ae7cf; do not store another copy.,false,,,Duplicate occurrences: 5.
txt-99c08b8a48bb,YouNew/ViewModels/SearchViewModel.swift:450,separable verbs,duplicate_exact_text,explore,Reference canonical item txt-99c08b8a48bb; do not store another copy.,false,,,Duplicate occurrences: 5.
txt-0814b29e0ba4,YouNew/ViewModels/SearchViewModel.swift:453,hebben zijn,duplicate_exact_text,explore,Reference canonical item txt-0814b29e0ba4; do not store another copy.,false,,,Duplicate occurrences: 6.
txt-2a46d3c89556,YouNew/ViewModels/SearchViewModel.swift:475,municipality registration,duplicate_cross_category|duplicate_exact_text,official-services,Reference canonical item txt-2a46d3c89556; do not store another copy.,false,,,Duplicate occurrences: 18.
txt-cb202fa79047,YouNew/ViewModels/SearchViewModel.swift:475,register address,duplicate_exact_text,getting-started,Reference canonical item txt-cb202fa79047; do not store another copy.,false,,,Duplicate occurrences: 6.
txt-06ee6bda7665,YouNew/ViewModels/SearchViewModel.swift:476,digital login,duplicate_exact_text,official-services,Reference canonical item txt-e953d38a8132; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-2ea8423ffced,YouNew/ViewModels/SearchViewModel.swift:476,digital identity,duplicate_exact_text,official-services,Reference canonical item txt-2ea8423ffced; do not store another copy.,false,,,Duplicate occurrences: 8.
txt-dd2cb7fca94a,YouNew/ViewModels/SearchViewModel.swift:477,health insurance,duplicate_exact_text,health-and-safety,Reference canonical item txt-e3b65934710b; do not store another copy.,false,,,Duplicate occurrences: 62.
txt-69c2e49b5160,YouNew/ViewModels/SearchViewModel.swift:479,traffic ticket,duplicate_exact_text,explore,Reference canonical item txt-69c2e49b5160; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-f82dcfd9f9bd,YouNew/ViewModels/SearchViewModel.swift:480,residence permit,duplicate_exact_text,explore,Reference canonical item txt-f82dcfd9f9bd; do not store another copy.,false,,,Duplicate occurrences: 12.
txt-fd48bd395fc6,YouNew/ViewModels/SearchViewModel.swift:484,dutch a1,duplicate_exact_text,explore,Reference canonical item txt-96a90b94a174; do not store another copy.,false,,,Duplicate occurrences: 7.
txt-c18eed381fef,YouNew/ViewModels/SearchViewModel.swift:484,dutch a2,duplicate_exact_text,explore,Reference canonical item txt-d7afff5597e6; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-b4c40387fb0c,YouNew/ViewModels/SearchViewModel.swift:484,dutch a1-a2,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-bfa1bee07efc; do not store another copy.,false,,,Duplicate occurrences: 19.
txt-56a42c81427b,YouNew/ViewModels/SearchViewModel.swift:484,nederlands a1,duplicate_exact_text,explore,Reference canonical item txt-685d2bdd94b7; do not store another copy.,false,,,Duplicate occurrences: 6.
txt-50a287fe31c9,YouNew/ViewModels/SearchViewModel.swift:484,nederlands a2,duplicate_exact_text,explore,Reference canonical item txt-50a287fe31c9; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-5290847dd891,YouNew/ViewModels/AppStateViewModel.swift:182,"Gemeente, IND, UWV, and official procedures.",mixed_english_dutch,official-services,"Gemeente, IND, UWV, and official procedures.",false,,,
txt-fa73f4ab7ae5,YouNew/ViewModels/MapViewModel.swift:34,I need BSN,duplicate_exact_text,getting-started,Reference canonical item txt-fa73f4ab7ae5; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-ab82a81c16d8,YouNew/ViewModels/MapViewModel.swift:35,I need healthcare,duplicate_exact_text,health-and-safety,Reference canonical item txt-ab82a81c16d8; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-ee6148249c92,YouNew/ViewModels/MapViewModel.swift:36,I received a fine,duplicate_exact_text,explore,Reference canonical item txt-ee6148249c92; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-7962ea7e16d2,YouNew/ViewModels/MapViewModel.swift:324,Муниципалитет,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-2f93b5222710; do not store another copy.,false,,,Duplicate occurrences: 46.
txt-836dfcabbfba,YouNew/ViewModels/MapViewModel.swift:326,Confirm required next actions.,fact_requires_verification,explore,Confirm required next actions.,true,,,
txt-321705b42235,YouNew/ViewModels/MapViewModel.swift:331,Insurance basics,duplicate_exact_text,health-and-safety,Reference canonical item txt-321705b42235; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-c77c735735d3,YouNew/ViewModels/MapViewModel.swift:331,Basis zorgverzekering,duplicate_exact_text,explore,Reference canonical item txt-c77c735735d3; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-dea2f32528ac,YouNew/ViewModels/MapViewModel.swift:331,Know mandatory coverage rules.,fact_requires_verification,explore,Know mandatory coverage rules.,true,,,
txt-590e37721c8c,YouNew/ViewModels/MapViewModel.swift:406,Required documents,fact_requires_verification,getting-started,Required documents,true,,,
txt-5208fec0048a,YouNew/ViewModels/MapViewModel.swift:410,Healthcare Basics,duplicate_exact_text,health-and-safety,Reference canonical item txt-5208fec0048a; do not store another copy.,false,,,Duplicate occurrences: 9.
txt-b8e636408678,YouNew/ViewModels/MapViewModel.swift:411,Insurance Basics,duplicate_exact_text,health-and-safety,Reference canonical item txt-321705b42235; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-d83e9ef12b36,YouNew/ViewModels/MapViewModel.swift:420,Understand official communication,duplicate_exact_text,official-services,Reference canonical item txt-d83e9ef12b36; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-59f71054c8ac,YouNew/ViewModels/MapViewModel.swift:421,Legal Basics,duplicate_exact_text,explore,Reference canonical item txt-59f71054c8ac; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-a6409325ff54,YouNew/ViewModels/MapViewModel.swift:421,Rights and first actions,duplicate_exact_text,explore,Reference canonical item txt-a6409325ff54; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-34687b581356,YouNew/ViewModels/MapViewModel.swift:425,Understand official communication,duplicate_exact_text,official-services,Reference canonical item txt-d83e9ef12b36; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-6e7d7a7e54dd,YouNew/ViewModels/MapViewModel.swift:426,Legal Basics,duplicate_exact_text,explore,Reference canonical item txt-59f71054c8ac; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-b75717536ad0,YouNew/ViewModels/MapViewModel.swift:426,Rights and first actions,duplicate_exact_text,explore,Reference canonical item txt-a6409325ff54; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-96fbdd25fa85,YouNew/ViewModels/MapViewModel.swift:430,Student Support,duplicate_exact_text,study,Reference canonical item txt-96fbdd25fa85; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-b166a49956e5,YouNew/ViewModels/MapViewModel.swift:499,Den Haag,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-b166a49956e5; do not store another copy.,false,,,Duplicate occurrences: 70.
txt-3d3d926dc8d1,YouNew/ViewModels/MapViewModel.swift:654,Reference guide,duplicate_exact_text,explore,Reference canonical item txt-3d3d926dc8d1; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-94dc45b03ff2,YouNew/en.lproj/Localizable.strings:10,AI Assistant,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-94dc45b03ff2; do not store another copy.,false,,,Duplicate occurrences: 13.
txt-3c37d4cdcd08,YouNew/en.lproj/Localizable.strings:15,Start Here,duplicate_exact_text,explore,Reference canonical item txt-3c37d4cdcd08; do not store another copy.,false,,,Duplicate occurrences: 8.
txt-50a6f5addf20,YouNew/en.lproj/Localizable.strings:17,Help Nearby,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-50a6f5addf20; do not store another copy.,false,,,Duplicate occurrences: 5.
txt-4f2bedeaf78d,YouNew/en.lproj/Localizable.strings:33,Profile and onboarding fields,duplicate_exact_text,explore,Reference canonical item txt-4f2bedeaf78d; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-f3b6783424c3,YouNew/en.lproj/Localizable.strings:35,Local reminders,duplicate_cross_category|duplicate_exact_text,official-services,Reference canonical item txt-f3b6783424c3; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-7787a3497536,YouNew/en.lproj/Localizable.strings:40,Question search,duplicate_exact_text,explore,Reference canonical item txt-7787a3497536; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-20a7a8765d47,YouNew/en.lproj/Localizable.strings:42,"Search for rules, documents, services…",duplicate_exact_text|possibly_truncated_text,getting-started,Reference canonical item txt-20a7a8765d47; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-b45e3e42b706,YouNew/en.lproj/Localizable.strings:45,Popular questions,duplicate_exact_text,explore,Reference canonical item txt-b45e3e42b706; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-98b9116d3221,YouNew/en.lproj/Localizable.strings:48,Search common newcomer questions.,duplicate_exact_text,explore,Reference canonical item txt-98b9116d3221; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-01424899c74c,YouNew/en.lproj/Localizable.strings:51,AI Assistant,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-94dc45b03ff2; do not store another copy.,false,,,Duplicate occurrences: 13.
txt-1bec67ba61ed,YouNew/en.lproj/Localizable.strings:52,Source-first Explain Mode and next steps,duplicate_exact_text,explore,Reference canonical item txt-1bec67ba61ed; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-5e89c87a14fe,YouNew/en.lproj/Localizable.strings:53,"The AI assistant provides guidance based on the app's knowledge base and official sources where available. It does not replace legal, medical or financial professionals.",duplicate_exact_text,official-services,Reference canonical item txt-5e89c87a14fe; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-a915f97ea058,YouNew/en.lproj/Localizable.strings:56,Related institutions,duplicate_exact_text,explore,Reference canonical item txt-a915f97ea058; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-3c147074a7d2,YouNew/en.lproj/Localizable.strings:60,Open map,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-3c147074a7d2; do not store another copy.,false,,,Duplicate occurrences: 12.
txt-08757876ca33,YouNew/en.lproj/Localizable.strings:62,What is DigiD?,duplicate_exact_text,official-services,Reference canonical item txt-08757876ca33; do not store another copy.,false,,,Duplicate occurrences: 22.
txt-efb56f0556f9,YouNew/en.lproj/Localizable.strings:68,Nearby help,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-efb56f0556f9; do not store another copy.,false,,,Duplicate occurrences: 8.
txt-1bea2df9d917,YouNew/en.lproj/Localizable.strings:72,Use current location,duplicate_exact_text,housing,Reference canonical item txt-1bea2df9d917; do not store another copy.,false,,,Duplicate occurrences: 4.
txt-629521afd3ac,YouNew/en.lproj/Localizable.strings:75,Search places,duplicate_exact_text,explore,Reference canonical item txt-629521afd3ac; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-1a6355ee7d01,YouNew/en.lproj/Localizable.strings:76,"Search institutions, stations, healthcare, legal help…",possibly_truncated_text,health-and-safety,"Search institutions, stations, healthcare, legal help…",false,,,
txt-52f0fc7f5764,YouNew/en.lproj/Localizable.strings:78,City support points,duplicate_exact_text,explore,Reference canonical item txt-52f0fc7f5764; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-3a5b44175de2,YouNew/en.lproj/Localizable.strings:86,Legal help,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-3a5b44175de2; do not store another copy.,false,,,Duplicate occurrences: 39.
txt-7637fe136153,YouNew/en.lproj/Localizable.strings:88,Community support,duplicate_exact_text,explore,Reference canonical item txt-7637fe136153; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-845e0422bfc3,YouNew/en.lproj/Localizable.strings:89,Immigration support,duplicate_exact_text,explore,Reference canonical item txt-845e0422bfc3; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-2d001c834772,YouNew/en.lproj/Localizable.strings:91,Student help,duplicate_exact_text,study,Reference canonical item txt-2d001c834772; do not store another copy.,false,,,Duplicate occurrences: 2.
txt-d4da88b784c1,YouNew/en.lproj/Localizable.strings:95,Beginner guides,duplicate_exact_text,explore,Reference canonical item txt-d4da88b784c1; do not store another copy.,false,,,Duplicate occurrences: 7.
txt-bfcd3f005799,YouNew/en.lproj/Localizable.strings:98,Simple answer,duplicate_exact_text,explore,Reference canonical item txt-bfcd3f005799; do not store another copy.,false,,,Duplicate occurrences: 3.
txt-c70e0bd6522c,YouNew/en.lproj/Localizable.strings:100,Why it matters,duplicate_cross_category|duplicate_exact_text,explore,Reference canonical item txt-c70e0bd6522c; do not store another copy.,false,,,Duplicate occurrences: 8.
txt-dcd4bf15396b,YouNew/en.lproj/Localizable.strings:101,What to check,duplicate_exact_text,explore,Reference canonical item txt-dcd4bf15396b; do not store another copy.,false,,,Duplicate occurrences: 4.
